dataset_name,dataset_path,dataset_csv,target,cat_col
adult,datasets/original/adult.csv,datasets/adult/data.csv,class,"['workclass', 'education', 'education-num', 'marital-status', 'occupation', 'relationship', 'race', 'sex', 'native-country']"
bank_marketing,datasets/original/bank_marketing.csv,datasets/bank_marketing/data.csv,Class,"['V2', 'V3', 'V4', 'V5', 'V7', 'V8', 'V9', 'V10', 'V11', 'V13', 'V15', 'V16']"
california_housing,datasets/original/california_housing.csv,datasets/california_housing/data.csv,MedHouseVal,[]
chess_kr_k,datasets/original/chess_kr_k.csv,datasets/chess_kr_k/data.csv,Contraceptive_method_used,"['Wifes_age', 'Wifes_education', 'Husbands_education', 'Number_of_children_ever_born', 'Wifes_religion', 'Wifes_now_working%3F', 'Husbands_occupation', 'Standard-of-living_index', 'Media_exposure']"
connect_4,datasets/original/connect_4.csv,datasets/connect_4/data.csv,class,"['a1', 'a2', 'a3', 'a4', 'a5', 'a6', 'b1', 'b2', 'b3', 'b4', 'b5', 'b6', 'c1', 'c2', 'c3', 'c4', 'c5', 'c6', 'd1', 'd2', 'd3', 'd4', 'd5', 'd6', 'e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'f1', 'f2', 'f3', 'f4', 'f5', 'f6', 'g1', 'g2', 'g3', 'g4', 'g5', 'g6']"
default_credit,datasets/original/default_credit.csv,datasets/default_credit/data.csv,y,"['x2', 'x3', 'x4', 'x6', 'x7', 'x8', 'x9', 'x10', 'x11']"
letter_recognition,datasets/original/letter_recognition.csv,datasets/letter_recognition/data.csv,class,"['x-box', 'y-box', 'width', 'high', 'onpix', 'x-bar', 'y-bar', 'x2bar', 'y2bar', 'xybar', 'x2ybr', 'xy2br', 'x-ege', 'xegvy', 'y-ege', 'yegvx']"
magic_gamma,datasets/original/magic_gamma.csv,datasets/magic_gamma/data.csv,class:,[]
nursery,datasets/original/nursery.csv,datasets/nursery/data.csv,class,"['parents', 'has_nurs', 'form', 'children', 'housing', 'finance', 'social', 'health']"
online_shoppers,datasets/original/online_shoppers.csv,datasets/online_shoppers/data.csv,Revenue,"['Administrative', 'Informational', 'SpecialDay', 'Month', 'OperatingSystems', 'Browser', 'Region', 'TrafficType', 'VisitorType', 'Weekend']"
phishing_websites,datasets/original/phishing_websites.csv,datasets/phishing_websites/data.csv,Result,"['having_IP_Address', 'URL_Length', 'Shortining_Service', 'having_At_Symbol', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'SSLfinal_State', 'Domain_registeration_length', 'Favicon', 'port', 'HTTPS_token', 'Request_URL', 'URL_of_Anchor', 'Links_in_tags', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'age_of_domain', 'DNSRecord', 'web_traffic', 'Page_Rank', 'Google_Index', 'Links_pointing_to_page', 'Statistical_report']"
